order_id,order_date,product,revenue,quantity
ORD200848,2023-01-01 00:00:00,Chair,645.85,2
ORD200112,2023-01-01 00:00:00,Monitor,410.6,1
ORD200236,2023-01-01 00:00:00,Monitor,318.81,1
ORD200373,2023-01-02 00:00:00,Laptop,341.15,3
ORD200645,2023-01-02 00:00:00,Laptop,150.05,2
ORD200881,2023-01-03 00:00:00,Tablet,448.85,2
ORD200000,2023-01-04 00:00:00,Monitor,570.62,5
ORD200698,2023-01-04 00:00:00,Laptop,388.22,2
ORD200491,2023-01-05 00:00:00,Phone,420.7,5
ORD200371,2023-01-05 00:00:00,Phone,307.76,5
ORD200472,2023-01-06 00:00:00,Chair,508.12,3
ORD200034,2023-01-07 00:00:00,Chair,576.52,4
ORD200555,2023-01-07 00:00:00,Tablet,92.04,1
ORD201179,2023-01-08 00:00:00,Laptop,518.55,5
ORD200131,2023-01-08 00:00:00,Tablet,84.8,1
ORD201084,2023-01-08 00:00:00,Phone,70.82,1
ORD200262,2023-01-10 00:00:00,Phone,249.07,4
ORD201003,2023-01-11 00:00:00,Printer,319.97,5
ORD200418,2023-01-11 00:00:00,Printer,310.93,1
ORD200957,2023-01-12 00:00:00,Monitor,643.89,5
ORD201008,2023-01-13 00:00:00,Monitor,410.88,3
ORD200093,2023-01-14 00:00:00,Desk,431.01,4
ORD200098,2023-01-14 00:00:00,Printer,228.54,2
ORD200750,2023-01-14 00:00:00,Tablet,145.41,4
ORD200058,2023-01-15 00:00:00,Phone,474.69,4
ORD200483,2023-01-18 00:00:00,Phone,347.92,5
ORD200639,2023-01-20 00:00:00,Chair,529.19,1
ORD201080,2023-01-20 00:00:00,Laptop,464.74,5
ORD200383,2023-01-20 00:00:00,Chair,393.8,4
ORD200057,2023-01-22 00:00:00,Printer,314.27,5
ORD200766,2023-01-22 00:00:00,Printer,278.88,2
ORD200577,2023-01-22 00:00:00,Tablet,185.41,4
ORD200955,2023-01-23 00:00:00,Chair,408.13,1
ORD200019,2023-01-23 00:00:00,Monitor,224.0,5
ORD200692,2023-01-23 00:00:00,Desk,196.84,5
ORD200751,2023-01-24 00:00:00,Tablet,599.86,2
ORD200016,2023-01-24 00:00:00,Printer,533.81,2
ORD200573,2023-01-25 00:00:00,Chair,421.42,5
ORD200295,2023-01-25 00:00:00,Printer,107.48,5
ORD200933,2023-01-26 00:00:00,Monitor,394.16,2
ORD200556,2023-01-28 00:00:00,Laptop,654.27,1
ORD200977,2023-01-28 00:00:00,Chair,649.47,4
ORD200662,2023-01-28 00:00:00,Laptop,438.89,3
ORD201151,2023-01-29 00:00:00,Chair,608.04,2
ORD200022,2023-01-29 00:00:00,Monitor,49.62,2
ORD200560,2023-01-31 00:00:00,Monitor,588.85,4
ORD200561,2023-01-31 00:00:00,Printer,494.78,2
ORD200679,2023-02-02 00:00:00,Tablet,360.66,3
ORD200836,2023-02-02 00:00:00,Phone,178.44,1
ORD200486,2023-02-03 00:00:00,Printer,611.26,4
ORD200274,2023-02-04 00:00:00,Phone,182.4,2
ORD200669,2023-02-05 00:00:00,Desk,257.0,1
ORD200829,2023-02-05 00:00:00,Monitor,76.93,1
ORD200953,2023-02-06 00:00:00,Phone,131.61,1
ORD200187,2023-02-08 00:00:00,Chair,590.87,1
ORD200366,2023-02-10 00:00:00,Printer,602.24,3
ORD200923,2023-02-11 00:00:00,Printer,649.93,3
ORD201041,2023-02-11 00:00:00,Monitor,558.9,4
ORD200094,2023-02-11 00:00:00,Chair,531.18,1
ORD200436,2023-02-11 00:00:00,Laptop,221.33,4
ORD200927,2023-02-14 00:00:00,Laptop,64.69,4
ORD200509,2023-02-15 00:00:00,Laptop,425.03,2
ORD201144,2023-02-16 00:00:00,Desk,507.94,5
ORD200913,2023-02-16 00:00:00,Printer,475.95,5
ORD200293,2023-02-16 00:00:00,Tablet,463.04,4
ORD200244,2023-02-16 00:00:00,Desk,317.77,2
ORD200284,2023-02-16 00:00:00,Laptop,208.17,5
ORD200100,2023-02-17 00:00:00,Phone,664.79,3
ORD201028,2023-02-17 00:00:00,Desk,440.31,4
ORD200160,2023-02-17 00:00:00,Monitor,101.32,4
ORD200128,2023-02-17 00:00:00,Tablet,21.07,4
ORD200479,2023-02-18 00:00:00,Monitor,25.29,4
ORD201150,2023-02-20 00:00:00,Desk,302.65,4
ORD200235,2023-02-20 00:00:00,Desk,65.45,1
ORD200673,2023-02-21 00:00:00,Tablet,372.92,2
ORD200297,2023-02-22 00:00:00,Desk,493.88,2
ORD201090,2023-02-25 00:00:00,Monitor,650.25,2
ORD201069,2023-02-25 00:00:00,Monitor,454.23,1
ORD200343,2023-02-26 00:00:00,Printer,527.57,1
ORD201072,2023-02-26 00:00:00,Monitor,392.61,1
ORD200797,2023-02-27 00:00:00,Laptop,438.76,2
ORD200155,2023-02-27 00:00:00,Phone,424.4,1
ORD200328,2023-02-28 00:00:00,Tablet,674.04,5
ORD201031,2023-02-28 00:00:00,Phone,664.51,5
ORD201005,2023-03-02 00:00:00,Printer,392.85,3
ORD200818,2023-03-02 00:00:00,Phone,390.84,4
ORD200745,2023-03-02 00:00:00,Printer,111.3,4
ORD200775,2023-03-04 00:00:00,Phone,625.22,2
ORD200205,2023-03-04 00:00:00,Desk,147.39,3
ORD200533,2023-03-05 00:00:00,Desk,565.85,1
ORD200117,2023-03-08 00:00:00,Tablet,535.5,1
ORD200102,2023-03-08 00:00:00,Laptop,70.34,2
ORD200794,2023-03-09 00:00:00,Printer,384.85,4
ORD200487,2023-03-09 00:00:00,Printer,346.52,3
ORD200425,2023-03-09 00:00:00,Laptop,301.88,2
ORD200404,2023-03-09 00:00:00,Monitor,99.1,2
ORD200520,2023-03-10 00:00:00,Monitor,635.98,3
ORD200568,2023-03-10 00:00:00,Laptop,343.99,2
ORD200288,2023-03-12 00:00:00,Laptop,512.75,4
ORD201106,2023-03-12 00:00:00,Chair,372.8,1
ORD200725,2023-03-12 00:00:00,Chair,194.85,2
ORD200515,2023-03-14 00:00:00,Phone,553.52,3
ORD200464,2023-03-14 00:00:00,Tablet,434.42,4
ORD200655,2023-03-14 00:00:00,Chair,132.6,2
ORD200091,2023-03-15 00:00:00,Laptop,492.75,5
ORD201114,2023-03-16 00:00:00,Tablet,659.88,3
ORD200180,2023-03-18 00:00:00,Tablet,316.07,5
ORD201078,2023-03-18 00:00:00,Desk,41.09,1
ORD200861,2023-03-19 00:00:00,Desk,330.45,5
ORD200116,2023-03-19 00:00:00,Printer,291.35,4
ORD201113,2023-03-19 00:00:00,Desk,209.99,4
ORD201108,2023-03-20 00:00:00,Laptop,634.94,1
ORD200893,2023-03-21 00:00:00,Monitor,678.01,1
ORD200703,2023-03-22 00:00:00,Desk,92.79,1
ORD200989,2023-03-23 00:00:00,Laptop,246.11,4
ORD200095,2023-03-24 00:00:00,Printer,117.51,4
ORD200263,2023-03-25 00:00:00,Phone,434.85,4
ORD200758,2023-03-26 00:00:00,Tablet,624.84,3
ORD200628,2023-03-26 00:00:00,Printer,558.63,5
ORD200932,2023-03-26 00:00:00,Laptop,72.39,2
ORD200107,2023-03-27 00:00:00,Printer,670.75,5
ORD200280,2023-03-27 00:00:00,Tablet,404.62,3
